threshold,precision,recall,f1,cost
0.33499999999999996,0.7105263157894737,0.9642857142857143,0.8181818181818182,16.0
0.33999999999999997,0.7105263157894737,0.9642857142857143,0.8181818181818182,16.0
0.3449999999999999,0.7105263157894737,0.9642857142857143,0.8181818181818182,16.0
0.3499999999999999,0.7105263157894737,0.9642857142857143,0.8181818181818182,16.0
0.3549999999999999,0.7105263157894737,0.9642857142857143,0.8181818181818182,16.0
0.35999999999999993,0.7297297297297297,0.9642857142857143,0.8307692307692308,15.0
0.36499999999999994,0.7297297297297297,0.9642857142857143,0.8307692307692308,15.0
0.36999999999999994,0.7297297297297297,0.9642857142857143,0.8307692307692308,15.0
0.37499999999999994,0.7297297297297297,0.9642857142857143,0.8307692307692308,15.0
0.37999999999999995,0.7297297297297297,0.9642857142857143,0.8307692307692308,15.0
0.38499999999999995,0.75,0.9642857142857143,0.84375,14.0
0.38999999999999996,0.75,0.9642857142857143,0.84375,14.0
0.39499999999999996,0.75,0.9642857142857143,0.84375,14.0
0.3999999999999999,0.7714285714285715,0.9642857142857143,0.8571428571428571,13.0
0.4049999999999999,0.7714285714285715,0.9642857142857143,0.8571428571428571,13.0
0.4099999999999999,0.7714285714285715,0.9642857142857143,0.8571428571428571,13.0
0.4149999999999999,0.7714285714285715,0.9642857142857143,0.8571428571428571,13.0
0.41999999999999993,0.7714285714285715,0.9642857142857143,0.8571428571428571,13.0
0.42499999999999993,0.7714285714285715,0.9642857142857143,0.8571428571428571,13.0
0.42999999999999994,0.7714285714285715,0.9642857142857143,0.8571428571428571,13.0
0.43499999999999994,0.7714285714285715,0.9642857142857143,0.8571428571428571,13.0
0.43999999999999995,0.7714285714285715,0.9642857142857143,0.8571428571428571,13.0
0.44499999999999995,0.7714285714285715,0.9642857142857143,0.8571428571428571,13.0
0.4499999999999999,0.7647058823529411,0.9285714285714286,0.8387096774193549,18.0
0.4549999999999999,0.7647058823529411,0.9285714285714286,0.8387096774193549,18.0
0.4599999999999999,0.7647058823529411,0.9285714285714286,0.8387096774193549,18.0
0.4649999999999999,0.7647058823529411,0.9285714285714286,0.8387096774193549,18.0
0.4699999999999999,0.7647058823529411,0.9285714285714286,0.8387096774193549,18.0
0.4749999999999999,0.7647058823529411,0.9285714285714286,0.8387096774193549,18.0
0.4799999999999999,0.7647058823529411,0.9285714285714286,0.8387096774193549,18.0
0.48499999999999993,0.7647058823529411,0.9285714285714286,0.8387096774193549,18.0
0.48999999999999994,0.7647058823529411,0.9285714285714286,0.8387096774193549,18.0
0.49499999999999994,0.7647058823529411,0.9285714285714286,0.8387096774193549,18.0
0.49999999999999994,0.7878787878787878,0.9285714285714286,0.8524590163934426,17.0
0.5049999999999999,0.7878787878787878,0.9285714285714286,0.8524590163934426,17.0
0.5099999999999999,0.8125,0.9285714285714286,0.8666666666666667,16.0
0.5149999999999999,0.8125,0.9285714285714286,0.8666666666666667,16.0
0.5199999999999999,0.8125,0.9285714285714286,0.8666666666666667,16.0
0.5249999999999999,0.8125,0.9285714285714286,0.8666666666666667,16.0
0.5299999999999999,0.8125,0.9285714285714286,0.8666666666666667,16.0
0.5349999999999999,0.8125,0.9285714285714286,0.8666666666666667,16.0
0.5399999999999999,0.8125,0.9285714285714286,0.8666666666666667,16.0
0.5449999999999999,0.8064516129032258,0.8928571428571429,0.847457627118644,21.0
0.5499999999999999,0.8064516129032258,0.8928571428571429,0.847457627118644,21.0
0.5549999999999999,0.8064516129032258,0.8928571428571429,0.847457627118644,21.0
0.5599999999999999,0.8064516129032258,0.8928571428571429,0.847457627118644,21.0
0.565,0.8064516129032258,0.8928571428571429,0.847457627118644,21.0
0.57,0.8064516129032258,0.8928571428571429,0.847457627118644,21.0
0.575,0.8064516129032258,0.8928571428571429,0.847457627118644,21.0
0.58,0.8064516129032258,0.8928571428571429,0.847457627118644,21.0
0.585,0.8064516129032258,0.8928571428571429,0.847457627118644,21.0
0.59,0.8064516129032258,0.8928571428571429,0.847457627118644,21.0
0.595,0.8064516129032258,0.8928571428571429,0.847457627118644,21.0
0.6,0.8064516129032258,0.8928571428571429,0.847457627118644,21.0
0.605,0.8064516129032258,0.8928571428571429,0.847457627118644,21.0
0.61,0.8620689655172413,0.8928571428571429,0.8771929824561403,19.0
0.615,0.8620689655172413,0.8928571428571429,0.8771929824561403,19.0
0.62,0.8620689655172413,0.8928571428571429,0.8771929824561403,19.0
0.625,0.8928571428571429,0.8928571428571429,0.8928571428571429,18.0
0.63,0.8928571428571429,0.8928571428571429,0.8928571428571429,18.0
0.635,0.8928571428571429,0.8928571428571429,0.8928571428571429,18.0
0.6399999999999999,0.8928571428571429,0.8928571428571429,0.8928571428571429,18.0
0.6449999999999999,0.8928571428571429,0.8928571428571429,0.8928571428571429,18.0
0.6499999999999999,0.8928571428571429,0.8928571428571429,0.8928571428571429,18.0
0.6549999999999999,0.8928571428571429,0.8928571428571429,0.8928571428571429,18.0
0.6599999999999999,0.8928571428571429,0.8928571428571429,0.8928571428571429,18.0
0.6649999999999999,0.8928571428571429,0.8928571428571429,0.8928571428571429,18.0
0.6699999999999999,0.8928571428571429,0.8928571428571429,0.8928571428571429,18.0
0.6749999999999999,0.8928571428571429,0.8928571428571429,0.8928571428571429,18.0
0.6799999999999999,0.8928571428571429,0.8928571428571429,0.8928571428571429,18.0
0.6849999999999999,0.8928571428571429,0.8928571428571429,0.8928571428571429,18.0
0.69,0.8928571428571429,0.8928571428571429,0.8928571428571429,18.0
0.695,0.8928571428571429,0.8928571428571429,0.8928571428571429,18.0
0.7,0.8928571428571429,0.8928571428571429,0.8928571428571429,18.0
0.705,0.9259259259259259,0.8928571428571429,0.9090909090909091,17.0
0.71,0.9259259259259259,0.8928571428571429,0.9090909090909091,17.0
0.715,0.9615384615384616,0.8928571428571429,0.9259259259259259,16.0
0.72,0.9615384615384616,0.8928571428571429,0.9259259259259259,16.0
0.725,0.9615384615384616,0.8928571428571429,0.9259259259259259,16.0
0.73,0.96,0.8571428571428571,0.9056603773584906,21.0
0.735,0.96,0.8571428571428571,0.9056603773584906,21.0
0.74,0.96,0.8571428571428571,0.9056603773584906,21.0
0.7449999999999999,0.96,0.8571428571428571,0.9056603773584906,21.0
0.7499999999999999,0.96,0.8571428571428571,0.9056603773584906,21.0
0.7549999999999999,0.96,0.8571428571428571,0.9056603773584906,21.0
0.7599999999999999,0.96,0.8571428571428571,0.9056603773584906,21.0
0.7649999999999999,0.9583333333333334,0.8214285714285714,0.8846153846153846,26.0
0.7699999999999999,0.9565217391304348,0.7857142857142857,0.8627450980392157,31.0
0.7749999999999999,0.9545454545454546,0.75,0.84,36.0
0.7799999999999999,0.9545454545454546,0.75,0.84,36.0
0.7849999999999999,0.9545454545454546,0.75,0.84,36.0
0.7899999999999999,0.9545454545454546,0.75,0.84,36.0
0.7949999999999999,0.9545454545454546,0.75,0.84,36.0
0.7999999999999999,0.9523809523809523,0.7142857142857143,0.8163265306122449,41.0
0.8049999999999999,0.9523809523809523,0.7142857142857143,0.8163265306122449,41.0
0.8099999999999999,0.9523809523809523,0.7142857142857143,0.8163265306122449,41.0
